route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"21-2-E-j20-1","02","2","","0","0073df","FFFFFF"
"21-2-E-j20-2","02","2","","0","0073df","FFFFFF"
"21-2-E-j20-3","02","2","","0","0073df","FFFFFF"
"21-2-E-j20-4","02","2","","0","0073df","FFFFFF"
"21-2-E-j20-5","02","2","","0","0073df","FFFFFF"
"21-2-E-j20-6","02","2","","0","0073df","FFFFFF"
"21-2-N-j20-1","02","NL 2","","0","0073df","FFFFFF"
"21-2-N-j20-2","02","NL 2","","0","0073df","FFFFFF"
"21-2-N-j20-3","02","NL 2","","0","0073df","FFFFFF"
"21-3-E-j20-1","02","3","","0","806600","FFFFFF"
"21-3-E-j20-2","02","3","","0","806600","FFFFFF"
"21-3-E-j20-3","02","3","","0","806600","FFFFFF"
"21-3-E-j20-4","02","3","","0","806600","FFFFFF"
"21-4-E-j20-1","02","4","","0","ffcc00","000000"
"21-4-E-j20-2","02","4","","0","ffcc00","000000"
"21-4-E-j20-3","02","4","","0","ffcc00","000000"
"21-4-E-j20-4","02","4","","0","ffcc00","000000"
"21-5-E-j20-1","02","5","","0","4dd3ff","FFFFFF"
"21-5-E-j20-2","02","5","","0","4dd3ff","FFFFFF"
"21-5-E-j20-3","02","5","","0","4dd3ff","FFFFFF"
"21-5-E-j20-4","02","5","","0","4dd3ff","FFFFFF"
"21-6-E-j20-1","02","6","","0","6eb500","FFFFFF"
"21-6-E-j20-2","02","6","","0","6eb500","FFFFFF"
"21-6-E-j20-3","02","6","","0","6eb500","FFFFFF"
"21-6-E-j20-4","02","6","","0","6eb500","FFFFFF"
"21-7-E-j20-1","02","E","","0","FF0000","FFFFFF"
"21-7-E-j20-2","02","E","","0","FF0000","FFFFFF"
"21-7-E-j20-3","02","E","","0","FF0000","FFFFFF"
"21-7-E-j20-4","02","E","","0","FF0000","FFFFFF"
"21-7-E-j20-5","02","E","","0","FF0000","FFFFFF"
"21-7-E-j20-6","02","E","","0","FF0000","FFFFFF"
"21-7-E-j20-7","02","E","","0","FF0000","FFFFFF"
"21-7-E-j20-8","02","E","","0","FF0000","FFFFFF"
"21-8-E-j20-1","02","8","","0","ff8000","000000"
"21-8-E-j20-2","02","8","","0","ff8000","000000"
"21-8-E-j20-3","02","8","","0","ff8000","000000"
"22-10-E-j20-1","01","S1","","2","00b875","FFFFFF"
"22-10-E-j20-2","01","S1","","2","00b875","FFFFFF"
"22-10-E-j20-3","01","S1","","2","00b875","FFFFFF"
"22-11-E-j20-1","01","S11","","2","00b875","FFFFFF"
"22-11-E-j20-2","01","S11","","2","00b875","FFFFFF"
"22-11-E-j20-3","01","S11","","2","00b875","FFFFFF"
"22-14-E-j20-1","01","S4","","2","990066","FFFFFF"
"22-14-E-j20-2","01","S4","","2","990066","FFFFFF"
"22-14-E-j20-3","01","S4","","2","990066","FFFFFF"
"22-14-E-j20-4","01","S4","","2","990066","FFFFFF"
"22-14-E-j20-5","01","S4","","2","990066","FFFFFF"
"22-14-E-j20-6","01","S4","","2","990066","FFFFFF"
"22-15-E-j20-1","01","S5","","2","ff80b3","000000"
"22-15-E-j20-2","01","S5","","2","ff80b3","000000"
"22-15-E-j20-3","01","S5","","2","ff80b3","000000"
"22-15-E-j20-4","01","S5","","2","ff80b3","000000"
"22-15-E-j20-5","01","S5","","2","ff80b3","000000"
"22-16-E-j20-1","01","S6","","2","37275a","FFFFFF"
"22-16-E-j20-2","01","S6","","2","37275a","FFFFFF"
"22-19-E-j20-1","01","S9","","2","ffa6a6","000000"
"22-19-E-j20-2","01","S9","","2","ffa6a6","000000"
"22-19-E-j20-3","01","S9","","2","ffa6a6","000000"
"22-19-E-j20-4","01","S9","","2","ffa6a6","000000"
"22-19-E-j20-5","01","S9","","2","ffa6a6","000000"
"22-31-E-j20-1","01","S31","","2","00a4b1","FFFFFF"
"22-31-E-j20-2","01","S31","","2","00a4b1","FFFFFF"
"22-32-E-j20-1","01","S32","","2","00a4b1","FFFFFF"
"22-32-E-j20-2","01","S32","","2","00a4b1","FFFFFF"
"22-441-E-j20-1","01","S41","","2","b3ff00","FFFFFF"
"22-441-E-j20-2","01","S41","","2","b3ff00","FFFFFF"
"22-441-E-j20-3","01","S41","","2","b3ff00","FFFFFF"
"22-441-E-j20-4","01","S41","","2","b3ff00","FFFFFF"
"22-442-E-j20-1","01","S42","","2","00d9b8","FFFFFF"
"22-51-E-j20-1","01","S51","","2","ff80b3","000000"
"22-51-E-j20-2","01","S51","","2","ff80b3","000000"
"22-51-E-j20-3","01","S51","","2","ff80b3","000000"
"22-51-E-j20-4","01","S51","","2","ff80b3","000000"
"22-52-E-j20-1","01","S52","","2","ff80b3","000000"
"22-70-E-j20-1","01","S7","","2","ffff00","000000"
"22-70-E-j20-2","01","S7","","2","ffff00","000000"
"22-70-E-j20-5","01","S7","","2","ffff00","000000"
"22-71-E-j20-1","01","S71","","2","ffff00","000000"
"22-71-E-j20-2","01","S71","","2","ffff00","000000"
"22-71-E-j20-3","01","S71","","2","ffff00","000000"
"22-71-E-j20-4","01","S71","","2","ffff00","000000"
"22-71-E-j20-5","01","S71","","2","ffff00","000000"
"22-71-E-j20-6","01","S71","","2","ffff00","000000"
"22-71-E-j20-7","01","S71","","2","ffff00","000000"
"22-71-E-j20-8","01","S71","","2","ffff00","000000"
"22-71-E-j20-9","01","S71","","2","ffff00","000000"
"22-80-E-j20-1","01","S8","","2","4d4d17","FFFFFF"
"22-80-E-j20-10","01","S8","","2","4d4d17","FFFFFF"
"22-80-E-j20-11","01","S8","","2","4d4d17","FFFFFF"
"22-80-E-j20-2","01","S8","","2","4d4d17","FFFFFF"
"22-80-E-j20-3","01","S8","","2","4d4d17","FFFFFF"
"22-80-E-j20-4","01","S8","","2","4d4d17","FFFFFF"
"22-80-E-j20-6","01","S8","","2","4d4d17","FFFFFF"
"22-80-E-j20-7","01","S8","","2","4d4d17","FFFFFF"
"22-80-E-j20-8","01","S8","","2","4d4d17","FFFFFF"
"22-81-E-j20-1","01","S81","","2","4d4d17","FFFFFF"
"22-81-E-j20-10","01","S81","","2","4d4d17","FFFFFF"
"22-81-E-j20-2","01","S81","","2","4d4d17","FFFFFF"
"22-81-E-j20-3","01","S81","","2","4d4d17","FFFFFF"
"22-81-E-j20-4","01","S81","","2","4d4d17","FFFFFF"
"22-81-E-j20-5","01","S81","","2","4d4d17","FFFFFF"
"22-81-E-j20-6","01","S81","","2","4d4d17","FFFFFF"
"22-81-E-j20-7","01","S81","","2","4d4d17","FFFFFF"
"22-81-E-j20-8","01","S81","","2","4d4d17","FFFFFF"
"22-81-E-j20-9","01","S81","","2","4d4d17","FFFFFF"
"23-134-C-j20-2","40","134","","3","8000ff","FFFFFF"
"23-135-C-j20-1","40","135","","3","8000ff","FFFFFF"
"23-136-C-j20-1","40","136","","3","8000ff","FFFFFF"
"23-137-C-j20-1","40","137","","3","8000ff","FFFFFF"
"23-138-C-j20-1","40","138","","3","8000ff","FFFFFF"
"23-139-C-j20-1","40","139","","3","8000ff","FFFFFF"
"24-10-E-j20-1","02","10","","3","8000ff","FFFFFF"
"24-10-E-j20-2","02","10","","3","8000ff","FFFFFF"
"24-10-E-j20-3","02","10","","3","8000ff","FFFFFF"
