service_id,date,exception_type
"T0#51","20200505","2"
"T0#51","20200506","2"
"T0#51","20200507","2"
"T0#51","20200508","2"
"T0#51","20200511","2"
"T0#51","20200512","2"
"T0#51","20200513","2"
"T0#51","20200514","2"
"T0#51","20200515","2"
"T0#51","20200518","2"
"T0#51","20200519","2"
"T0#51","20200520","2"
"T0#51","20200521","2"
"T0#51","20200522","2"
"T0#51","20200525","2"
"T0#51","20200526","2"
"T0#51","20200527","2"
"T0#51","20200528","2"
"T0#51","20200529","2"
"T0#51","20200601","2"
"T0#51","20200602","2"
"T0#51","20200603","2"
"T0#51","20200604","2"
"T0#51","20200605","2"
"T0#51","20200608","2"
"T0#51","20200609","2"
"T0#51","20200610","2"
"T0#51","20200611","2"
"T0#51","20200612","2"
"T0#52","20200410","2"
"T0#52","20200413","2"
"T0#52","20200501","2"
"T0#52","20200521","2"
"T0#52","20200601","2"
"T0#52","20200611","2"
"T0#53","20191224","2"
"T0#53","20191225","2"
"T0#53","20191226","2"
"T0#53","20191231","2"
"T0#53","20200101","2"
"T0#53","20200106","2"
"T0#53","20200113","2"
"T0#53","20200114","2"
"T0#53","20200115","2"
"T0#53","20200116","2"
"T0#53","20200117","2"
"T0#53","20200120","2"
"T0#53","20200121","2"
"T0#53","20200122","2"
"T0#53","20200123","2"
"T0#53","20200124","2"
"T0#53","20200127","2"
"T0#53","20200128","2"
"T0#53","20200129","2"
"T0#53","20200130","2"
"T0#53","20200131","2"
"T0#53","20200203","2"
"T0#53","20200204","2"
"T0#53","20200205","2"
"T0#53","20200206","2"
"T0#53","20200207","2"
"T0#53","20200210","2"
"T0#53","20200211","2"
"T0#53","20200212","2"
"T0#53","20200213","2"
"T0#53","20200214","2"
"T0#53","20200217","2"
"T0#53","20200218","2"
"T0#53","20200219","2"
"T0#53","20200220","2"
"T0#53","20200221","2"
"T0#53","20200224","2"
"T0#53","20200225","2"
"T0#53","20200226","2"
"T0#53","20200227","2"
"T0#53","20200228","2"
"T0#53","20200302","2"
"T0#53","20200303","2"
"T0#53","20200304","2"
"T0#53","20200305","2"
"T0#53","20200306","2"
"T0#53","20200309","2"
"T0#53","20200310","2"
"T0#53","20200311","2"
"T0#53","20200312","2"
"T0#53","20200313","2"
"T0#53","20200316","2"
"T0#53","20200317","2"
"T0#53","20200318","2"
"T0#53","20200319","2"
"T0#53","20200320","2"
"T0#53","20200323","2"
"T0#53","20200324","2"
"T0#53","20200325","2"
"T0#53","20200326","2"
"T0#53","20200327","2"
"T0#53","20200330","2"
"T0#53","20200331","2"
"T0#53","20200401","2"
"T0#53","20200402","2"
"T0#53","20200403","2"
"T0#53","20200406","2"
"T0#53","20200407","2"
"T0#53","20200408","2"
"T0#53","20200409","2"
"T0#53","20200410","2"
"T0#53","20200413","2"
"T0#53","20200414","2"
"T0#53","20200415","2"
"T0#53","20200416","2"
"T0#53","20200417","2"
"T0#53","20200420","2"
"T0#53","20200421","2"
"T0#53","20200422","2"
"T0#53","20200423","2"
"T0#53","20200424","2"
"T0#53","20200427","2"
"T0#53","20200428","2"
"T0#53","20200429","2"
"T0#53","20200430","2"
"T0#53","20200501","2"
"T0#53","20200504","2"
"T0#53","20200505","2"
"T0#53","20200506","2"
"T0#53","20200507","2"
"T0#53","20200508","2"
"T0#53","20200511","2"
"T0#53","20200512","2"
"T0#53","20200513","2"
"T0#53","20200514","2"
"T0#53","20200515","2"
"T0#53","20200518","2"
"T0#53","20200519","2"
"T0#53","20200520","2"
"T0#53","20200521","2"
"T0#53","20200522","2"
"T0#53","20200525","2"
"T0#53","20200526","2"
"T0#53","20200527","2"
"T0#53","20200528","2"
"T0#53","20200529","2"
"T0#53","20200601","2"
"T0#53","20200602","2"
"T0#53","20200603","2"
"T0#53","20200604","2"
"T0#53","20200605","2"
"T0#53","20200608","2"
"T0#53","20200609","2"
"T0#53","20200610","2"
"T0#53","20200611","2"
"T0#53","20200612","2"
"T0#54","20200410","2"
"T0#54","20200413","2"
"T0#54","20200501","2"
"T0#54","20200521","2"
"T0#54","20200601","2"
"T0#54","20200611","2"
"T0#6","20200410","2"
"T0#6","20200413","2"
"T0#6","20200501","2"
"T0#6","20200521","2"
"T0#6","20200601","2"
"T0#6","20200611","2"
"T0#7","20191224","2"
"T0#7","20191225","2"
"T0#7","20191226","2"
"T0#7","20191231","2"
"T0#7","20200101","2"
"T0#7","20200106","2"
"T0#7","20200107","2"
"T0#7","20200108","2"
"T0#7","20200109","2"
"T0#7","20200110","2"
"T0#7","20200113","2"
"T0#7","20200114","2"
"T0#7","20200115","2"
"T0#7","20200116","2"
"T0#7","20200117","2"
"T0#7","20200120","2"
"T0#7","20200121","2"
"T0#7","20200122","2"
"T0#7","20200123","2"
"T0#7","20200124","2"
"T0#7","20200127","2"
"T0#7","20200128","2"
"T0#7","20200129","2"
"T0#7","20200130","2"
"T0#7","20200131","2"
"T0#7","20200203","2"
"T0#7","20200204","2"
"T0#7","20200205","2"
"T0#7","20200206","2"
"T0#7","20200207","2"
"T0#7","20200210","2"
"T0#7","20200211","2"
"T0#7","20200212","2"
"T0#7","20200213","2"
"T0#7","20200214","2"
"T0#7","20200217","2"
"T0#7","20200218","2"
"T0#7","20200219","2"
"T0#7","20200220","2"
"T0#7","20200221","2"
"T0#7","20200224","2"
"T0#7","20200225","2"
"T0#7","20200226","2"
"T0#7","20200227","2"
"T0#7","20200228","2"
"T0#7","20200302","2"
"T0#7","20200303","2"
"T0#7","20200304","2"
"T0#7","20200305","2"
"T0#7","20200306","2"
"T0#7","20200309","2"
"T0#7","20200310","2"
"T0#7","20200311","2"
"T0#7","20200312","2"
"T0#7","20200313","2"
"T0#7","20200316","2"
"T0#7","20200317","2"
"T0#7","20200318","2"
"T0#7","20200319","2"
"T0#7","20200320","2"
"T0#7","20200323","2"
"T0#7","20200324","2"
"T0#7","20200325","2"
"T0#7","20200326","2"
"T0#7","20200327","2"
"T0#7","20200330","2"
"T0#7","20200331","2"
"T0#7","20200401","2"
"T0#7","20200402","2"
"T0#7","20200403","2"
"T0#7","20200406","2"
"T0#7","20200407","2"
"T0#7","20200408","2"
"T0#7","20200409","2"
"T0#7","20200410","2"
"T0#7","20200413","2"
"T0#7","20200414","2"
"T0#7","20200415","2"
"T0#7","20200416","2"
"T0#7","20200417","2"
"T0#7","20200420","2"
"T0#7","20200421","2"
"T0#7","20200422","2"
"T0#7","20200423","2"
"T0#7","20200424","2"
"T0#7","20200427","2"
"T0#7","20200428","2"
"T0#7","20200429","2"
"T0#7","20200430","2"
"T0#7","20200501","2"
"T0#7","20200504","2"
"T0#7","20200505","2"
"T0#7","20200506","2"
"T0#7","20200507","2"
