service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0+lw#2","0","0","1","0","1","0","0","20200302","20200613"
"T0+lw#3","0","0","1","0","1","0","0","20191215","20200613"
"T0+lw1","0","0","1","0","1","0","0","20200107","20200613"
"T0+lx","1","1","0","1","0","0","0","20191215","20200613"
"T0+lx#1","1","1","0","1","0","0","0","20200107","20200613"
"T0+lx#2","1","1","0","1","0","0","0","20200302","20200613"
"T0+lx#3","1","1","0","1","0","0","0","20191215","20200613"
"T0+lx#4","1","1","0","1","0","0","0","20191215","20200613"
"T0+lx1","1","1","0","1","0","0","0","20191215","20200613"
"T0+m1200","1","1","1","1","1","0","0","20191215","20200403"
"T0+me100","0","1","0","0","0","0","0","20191215","20200613"
"T0+mf","1","0","0","0","1","0","0","20191215","20200613"
"T0+nds","0","0","0","0","1","0","0","20191215","20200613"
"T0+o9200","1","1","1","1","1","0","0","20200420","20200613"
"T0+p0200","1","1","1","1","1","0","0","20191215","20200403"
"T0+p7300","1","1","1","1","0","0","0","20200316","20200403"
"T0+pe","1","1","1","1","0","0","0","20191215","20200613"
"T0+pe#1","1","1","1","1","0","0","0","20191215","20200613"
"T0+pe#2","1","1","1","1","0","0","0","20200302","20200613"
"T0+pe#3","1","1","1","1","0","0","0","20191215","20200308"
"T0+pe#4","1","1","1","1","0","0","0","20200309","20200613"
"T0+pe#5","1","1","1","1","0","0","0","20191215","20200613"
"T0+pe#6","1","1","1","1","0","0","0","20200127","20200613"
"T0+pe#7","1","1","1","1","0","0","0","20191215","20200613"
"T0+pe#8","1","1","1","1","0","0","0","20191215","20200613"
"T0+pe#9","1","1","1","1","0","0","0","20200113","20200613"
"T0+px","1","1","0","1","0","0","0","20191215","20200613"
"T0+rp100","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf#1","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf#10","1","1","1","1","1","0","0","20200309","20200613"
"T0+sf#11","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf#12","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf#13","0","1","0","0","0","0","0","20200225","20200225"
"T0+sf#14","1","1","1","1","1","0","0","20200401","20200613"
"T0+sf#15","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf#16","1","1","1","1","1","0","0","20200127","20200613"
"T0+sf#17","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf#18","1","1","1","1","1","0","0","20200203","20200613"
"T0+sf#19","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf#2","1","1","1","1","1","0","0","20200302","20200613"
"T0+sf#20","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf#21","1","1","1","1","1","0","0","20200301","20200613"
"T0+sf#22","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf#23","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf#24","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf#25","1","1","1","1","1","0","0","20200113","20200613"
"T0+sf#3","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf#4","1","1","1","1","1","0","0","20200107","20200613"
"T0+sf#5","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf#6","1","1","1","1","1","0","0","20200302","20200613"
"T0+sf#7","1","1","1","1","1","0","0","20191215","20200613"
"T0+sf#8","1","1","1","1","1","0","0","20200402","20200613"
"T0+sf#9","1","1","1","1","1","0","0","20191215","20200308"
"T0+ss","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#1","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#10","1","1","1","1","1","0","0","20200309","20200613"
"T0+ss#11","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#12","1","1","1","1","1","0","0","20200313","20200329"
"T0+ss#13","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#14","1","1","1","1","1","0","0","20200313","20200613"
"T0+ss#15","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#16","1","1","1","1","1","0","0","20200401","20200613"
"T0+ss#17","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#18","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#19","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#2","1","1","1","1","1","0","0","20200302","20200613"
"T0+ss#20","1","1","1","1","1","0","0","20200127","20200613"
"T0+ss#21","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#22","1","1","1","1","1","0","0","20200203","20200613"
"T0+ss#23","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#24","0","0","0","0","1","0","0","20200320","20200321"
"T0+ss#25","1","1","1","1","1","0","0","20200204","20200327"
"T0+ss#26","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#27","1","1","1","1","1","0","0","20200301","20200613"
"T0+ss#28","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#29","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#3","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#30","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#31","1","1","1","1","1","0","0","20200113","20200613"
"T0+ss#4","1","1","1","1","1","0","0","20200107","20200613"
"T0+ss#5","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#6","1","1","1","1","1","0","0","20200302","20200613"
"T0+ss#7","1","1","1","1","1","0","0","20191215","20200613"
"T0+ss#8","1","1","1","1","1","0","0","20200402","20200613"
"T0+ss#9","1","1","1","1","1","0","0","20191215","20200308"
"T0+ssm","1","1","1","0","0","0","0","20191215","20200613"
"T0+sso","0","0","0","1","1","0","0","20191215","20200613"
"T0+ssWi","1","1","1","1","1","0","0","20191215","20200613"
"T0+ssWi#1","1","1","1","1","1","0","0","20200113","20200613"
"T0+st","1","1","1","1","1","0","0","20191215","20200613"
"T0+st#1","1","1","1","1","1","0","0","20200113","20200613"
"T0+t5","0","0","0","0","1","0","0","20200316","20200403"
"T0+t5#1","0","0","0","0","1","0","0","20200404","20200419"
"T0+t5#2","0","0","0","0","1","0","0","20200221","20200228"
"T0+te","1","1","1","1","0","0","0","20191215","20200613"
"T0+te#1","1","1","1","1","0","0","0","20200316","20200403"
"T0+te#2","1","1","1","1","0","0","0","20200404","20200419"
"T0+te#3","1","1","1","1","0","0","0","20200420","20200613"
"T0+ti","1","0","1","1","1","0","0","20191215","20200126"
"T0+ti#1","1","0","1","1","1","0","0","20200127","20200613"
"T0+tx","1","1","0","1","0","0","0","20191215","20200613"
"T0+u8","1","1","1","1","1","0","0","20191215","20200613"
"T0+u8#1","1","1","1","1","1","0","0","20191215","20200613"
"T0+u8#2","1","1","1","1","1","0","0","20191215","20200613"
"T0+u8#3","1","1","1","1","1","0","0","20191215","20200613"
"T0+u8#4","1","1","1","1","1","0","0","20191215","20200613"
"T0+u8#5","1","1","1","1","1","0","0","20191215","20200613"
"T0+u8#6","1","1","1","1","1","0","0","20191215","20200613"
"T0+u8#7","1","1","1","1","1","0","0","20191215","20200613"
"T0+up100","0","1","1","1","0","0","0","20191215","20200613"
"T0+v9","1","1","1","1","1","0","0","20191215","20200613"
"T0+v9#1","1","1","1","1","1","0","0","20191215","20200613"
"T0+v9#2","1","1","1","1","1","0","0","20191215","20200613"
"T0+v9#3","1","1","1","1","1","0","0","20191215","20200613"
"T0+v9#4","1","1","1","1","1","0","0","20191215","20200613"
"T0+v9#5","1","1","1","1","1","0","0","20191215","20200613"
"T0+v9#6","1","1","1","1","1","0","0","20191215","20200613"
"T0+v9#7","1","1","1","1","1","0","0","20191215","20200613"
"T0+v9#8","1","1","1","1","1","0","0","20191215","20200613"
"T0+vz200","1","1","1","1","1","0","0","20200328","20200613"
"T0+x7300","1","1","1","1","1","0","0","20200316","20200403"
"T0+ym000","1","1","1","1","1","0","0","20191215","20200613"
"T0+z7300","1","1","1","1","1","0","0","20200316","20200403"
"T0+zm000","1","1","1","1","1","0","0","20191215","20200613"
"T2","0","0","0","0","0","1","0","20191215","20200613"
"T2#1","0","0","0","0","0","1","0","20200107","20200405"
"T2#10","0","0","0","0","0","1","0","20200309","20200613"
"T2#100","0","0","0","0","0","1","0","20200110","20200112"
"T2#101","0","0","0","0","0","1","0","20200307","20200316"
"T2#102","0","0","0","0","0","1","0","20200307","20200308"
"T2#103","0","0","0","0","0","1","0","20200111","20200113"
"T2#104","0","0","0","0","0","1","0","20200118","20200203"
"T2#105","0","0","0","0","0","1","0","20200215","20200229"
"T2#106","0","0","0","0","0","1","0","20200320","20200323"
"T2#107","0","0","0","0","0","1","0","20200327","20200330"
"T2#108","0","0","0","0","0","1","0","20200221","20200228"
"T2#11","0","0","0","0","0","1","0","20191215","20200613"
"T2#12","0","0","0","0","0","1","0","20200313","20200329"
"T2#13","0","0","0","0","0","1","0","20191215","20200613"
"T2#14","0","0","0","0","0","1","0","20200313","20200613"
"T2#15","0","0","0","0","0","1","0","20191215","20200613"
"T2#16","0","1","0","0","0","0","0","20191231","20191231"
